"State","Abbreviation","Latitude","Longitude","City","Zip_Code","County","Zip_Code_Pattern"
"Alabama","AL","32.806671","-86.791130","Montgomery","36104","Montgomery","^35[0-9]{3}|36[0-9]{3}$"
"Alaska","AK","61.370716","-152.404419","Juneau","99801","Juneau","^99[0-9]{3}$"
"Arizona","AZ","33.729759","-111.431221","Phoenix","85001","Maricopa","^85[0-9]{3}$"
"Arkansas","AR","34.969704","-92.373123","Little Rock","72201","Pulaski","^72[0-9]{3}$"
"California","CA","36.116203","-119.681564","Sacramento","94203","Sacramento","^9[0-5][0-9]{3}$"
"Colorado","CO","39.059811","-105.311104","Denver","80201","Denver","^80[0-9]{3}$"
"Connecticut","CT","41.597782","-72.755371","Hartford","06101","Hartford","^06[0-9]{3}$"
"Delaware","DE","39.318523","-75.507141","Dover","19901","Kent","^19[0-9]{3}$"
"District of Columbia","DC","38.897438","-77.026817","Washington","20001","District of Columbia","^20[0-5][0-9]{2}|569$"
"Florida","FL","27.766279","-81.686783","Tallahassee","32301","Leon","^32[0-4][0-9]{2}$"
"Georgia","GA","33.040619","-83.643074","Atlanta","30301","Fulton","^30[0-9]{3}|398|39901$"
"Hawaii","HI","21.094318","-157.498337","Honolulu","96801","Honolulu","^96[0-9]{3}$"
"Idaho","ID","44.240459","-114.478828","Boise","83701","Ada","^83[0-9]{3}$"
"Illinois","IL","40.349457","-88.986137","Springfield","62701","Sangamon","^6[0-5][0-9]{3}$"
"Indiana","IN","39.849426","-86.258278","Indianapolis","46201","Marion","^46[0-7][0-9]{2}$"
"Iowa","IA","42.011539","-93.210526","Des Moines","50301","Polk","^50[0-2][0-9]{2}$"
"Kansas","KS","38.526600","-96.726486","Topeka","66601","Shawnee","^66[0-9]{3}$"
"Kentucky","KY","37.668140","-84.670067","Frankfort","40601","Franklin","^40[0-2][0-9]{2}$"
"Louisiana","LA","31.169546","-91.867805","Baton Rouge","70801","East Baton Rouge","^70[0-9]{3}$"
"Maine","ME","44.693947","-69.381927","Augusta","04330","Kennebec","^04[0-9]{3}$"
"Montana","MT","46.921925","-110.454353","Helena","59601","Lewis and Clark","^59[0-9]{3}$"
"Nebraska","NE","41.125370","-98.268082","Lincoln","68501","Lancaster","^68[0-9]{3}$"
"Nevada","NV","38.313515","-117.055374","Carson City","89701","Carson City","^89[0-9]{3}$"
"New Hampshire","NH","43.452492","-71.563896","Concord","03301","Merrimack","^03[0-8][0-9]{2}$"
"New Jersey","NJ","40.298904","-74.521011","Trenton","08601","Mercer","^07[0-9]{3}|08[0-9]{3}$"
"New Mexico","NM","34.840515","-106.248482","Santa Fe","87501","Santa Fe","^87[0-9]{3}$"
"New York","NY","42.165726","-74.948051","Albany","12201","Albany","^1[0-4][0-9]{3}|06390|00501|00544$"
"North Carolina","NC","35.630066","-79.806419","Raleigh","27601","Wake","^27[0-9]{3}$"
"North Dakota","ND","47.528912","-99.784012","Bismarck","58501","Burleigh","^58[0-9]{3}$"
"Ohio","OH","40.388783","-82.764915","Columbus","43201","Franklin","^43[0-5][0-9]{2}$"
"Oklahoma","OK","35.565342","-96.928917","Oklahoma City","73101","Oklahoma","^73[0-9]{3}$"
"Oregon","OR","44.572021","-122.070938","Salem","97301","Marion","^97[0-9]{3}$"
"Maryland","MD","39.063946","-76.802101","Annapolis","21401","Anne Arundel","^21[0-9]{3}$"
"Massachusetts","MA","42.230171","-71.530106","Boston","02108","Suffolk","^01[0-9]{2}|02[0-9]{3}|05501|05544$"
"Michigan","MI","43.326618","-84.536095","Lansing","48901","Ingham","^48[0-9]{3}$"
"Minnesota","MN","45.694454","-93.900192","St. Paul","55101","Ramsey","^55[0-9]{3}$"
"Mississippi","MS","32.741646","-89.678696","Jackson","39201","Hinds","^39[0-7][0-9]{2}$"
"Missouri","MO","38.456085","-92.288368","Jefferson City","65101","Cole","^65[0-9]{3}$"
"Pennsylvania","PA","40.590752","-77.209755","Harrisburg","17101","Dauphin","^17[0-9]{3}$"
"Rhode Island","RI","41.680893","-71.511780","Providence","02901","Providence","^02[8-9][0-9]{2}$"
"South Carolina","SC","33.856892","-80.945007","Columbia","29201","Richland","^29[0-9]{3}$"
"South Dakota","SD","44.299782","-99.438828","Pierre","57501","Hughes","^57[0-9]{3}$"
"Tennessee","TN","35.747845","-86.692345","Nashville","37201","Davidson","^37[0-9]{3}$"
"Texas","TX","31.054487","-97.563461","Austin","73301","Travis","^7[5-8][0-9]{3}$"
"Utah","UT","39.499760","-111.547028","Salt Lake City","84101","Salt Lake","^84[0-9]{3}$"
"Vermont","VT","43.871755","-72.447783","Montpelier","05601","Washington","^05[0-9]{3}$"
"Virginia","VA","38.003386","-79.458786","Richmond","23218","Richmond","^22[0-9]{3}|23[0-9]{3}$"
"Washington","WA","47.751074","-120.740139","Olympia","98501","Thurston","^98[0-9]{3}$"
"West Virginia","WV","38.969719","-80.185924","Charleston","25301","Kanawha","^25[0-9]{3}$"
"Wisconsin","WI","44.268543","-89.616508","Madison","53701","Dane","^53[0-9]{3}$"
"Wyoming","WY","42.755966","-107.302490","Cheyenne","82001","Laramie","^82[0-9]{3}$"
